iShares Core S&P 500 ETF
Fund Holdings as of,"Jan 31, 2022"
Inception Date,"May 15, 2000"
Shares Outstanding,"704,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","454,322,342.40","0.14","454,322,342.40","2,211,460.00","205.44","United States","NASDAQ","USD","1.00","USD","-"
"ILMN","ILLUMINA INC","Health Care","Equity","452,163,157.30","0.14","452,163,157.30","1,296,265.00","348.82","United States","NASDAQ","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","430,795,971.71","0.14","430,795,971.71","5,928,113.00","72.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","421,995,982.50","0.13","421,995,982.50","1,075,149.00","392.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PXD","PIONEER NATURAL RESOURCE","Energy","Equity","413,969,364.69","0.13","413,969,364.69","1,891,221.00","218.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","410,006,904.30","0.13","410,006,904.30","1,933,083.00","212.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","405,762,814.71","0.13","405,762,814.71","6,633,363.00","61.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DG","DOLLAR GENERAL CORP","Consumer Discretionary","Equity","404,132,017.12","0.13","404,132,017.12","1,938,469.00","208.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","402,251,084.80","0.13","402,251,084.80","2,732,684.00","147.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XLNX","XILINX INC","Information Technology","Equity","399,411,909.05","0.13","399,411,909.05","2,063,611.00","193.55","United States","NASDAQ","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","398,843,271.75","0.13","398,843,271.75","6,906,377.00","57.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","398,768,065.22","0.13","398,768,065.22","5,946,437.00","67.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","398,415,442.32","0.12","398,415,442.32","5,005,848.00","79.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","395,335,741.50","0.12","395,335,741.50","1,273,223.00","310.50","United States","NASDAQ","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","392,769,066.15","0.12","392,769,066.15","2,073,207.00","189.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IQV","IQVIA HOLDINGS INC","Health Care","Equity","391,272,811.60","0.12","391,272,811.60","1,597,684.00","244.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TEL","TE CONNECTIVITY LTD","Information Technology","Equity","387,903,041.19","0.12","387,903,041.19","2,712,419.00","143.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INFO","IHS MARKIT LTD","Industrials","Equity","387,771,296.76","0.12","387,771,296.76","3,320,244.00","116.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","385,284,001.80","0.12","385,284,001.80","2,799,012.00","137.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Industrials","Equity","384,866,483.64","0.12","384,866,483.64","880,379.00","437.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","378,785,944.00","0.12","378,785,944.00","4,190,110.00","90.40","United States","NASDAQ","USD","1.00","USD","-"
"CNC","CENTENE CORP","Health Care","Equity","377,355,672.00","0.12","377,355,672.00","4,852,825.00","77.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","374,543,703.96","0.12","374,543,703.96","6,320,346.00","59.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","374,463,170.96","0.12","374,463,170.96","4,383,788.00","85.42","United States","NASDAQ","USD","1.00","USD","-"
"SRE","SEMPRA","Utilities","Equity","368,539,589.44","0.12","368,539,589.44","2,667,484.00","138.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","368,470,987.04","0.12","368,470,987.04","687,292.00","536.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","367,398,069.12","0.12","367,398,069.12","2,280,276.00","161.12","United States","NASDAQ","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","367,418,332.75","0.12","367,418,332.75","5,120,813.00","71.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DOW","DOW INC","Materials","Equity","365,782,697.28","0.11","365,782,697.28","6,123,936.00","59.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","365,229,620.25","0.11","365,229,620.25","560,383.00","651.75","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"GPN","GLOBAL PAYMENTS INC","Information Technology","Equity","361,686,369.24","0.11","361,686,369.24","2,413,173.00","149.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","359,487,491.70","0.11","359,487,491.70","708,629.00","507.30","United States","NASDAQ","USD","1.00","USD","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","356,507,096.92","0.11","356,507,096.92","4,601,279.00","77.48","United States","NASDAQ","USD","1.00","USD","-"
"BAX","BAXTER INTERNATIONAL INC","Health Care","Equity","355,778,909.76","0.11","355,778,909.76","4,164,079.00","85.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","352,274,692.96","0.11","352,274,692.96","2,315,464.00","152.14","United States","NASDAQ","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","352,292,771.88","0.11","352,292,771.88","2,528,659.00","139.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","352,157,132.44","0.11","352,157,132.44","2,359,828.00","149.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HPQ","HP INC","Information Technology","Equity","352,144,247.02","0.11","352,144,247.02","9,587,374.00","36.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","351,769,725.00","0.11","351,769,725.00","4,690,263.00","75.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","350,765,369.28","0.11","350,765,369.28","3,143,904.00","111.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DXCM","DEXCOM INC","Health Care","Equity","348,343,555.04","0.11","348,343,555.04","809,198.00","430.48","United States","NASDAQ","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","348,231,836.64","0.11","348,231,836.64","234,408.00","1,485.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GIS","GENERAL MILLS INC","Consumer Staples","Equity","347,035,232.40","0.11","347,035,232.40","5,052,930.00","68.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","346,461,153.35","0.11","346,461,153.35","174,421.00","1,986.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CARR","CARRIER GLOBAL CORP","Industrials","Equity","344,885,698.88","0.11","344,885,698.88","7,233,341.00","47.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","342,552,783.00","0.11","342,552,783.00","1,978,930.00","173.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","341,592,045.63","0.11","341,592,045.63","1,632,147.00","209.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","339,474,664.34","0.11","339,474,664.34","2,042,813.00","166.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","339,405,614.94","0.11","339,405,614.94","2,338,954.00","145.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","337,247,612.28","0.11","337,247,612.28","1,134,597.00","297.24","United States","NASDAQ","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","335,366,027.91","0.11","335,366,027.91","1,081,791.00","310.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYY","SYSCO CORP","Consumer Staples","Equity","333,800,375.70","0.10","333,800,375.70","4,271,278.00","78.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DD","DUPONT DE NEMOURS INC","Materials","Equity","330,071,621.40","0.10","330,071,621.40","4,309,029.00","76.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"O","REALTY INCOME REIT CORP","Real Estate","Equity","326,488,398.06","0.10","326,488,398.06","4,703,766.00","69.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","325,994,865.12","0.10","325,994,865.12","1,269,846.00","256.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STZ","CONSTELLATION BRANDS INC CLASS A","Consumer Staples","Equity","324,813,812.25","0.10","324,813,812.25","1,366,199.00","237.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","323,350,569.22","0.10","323,350,569.22","1,394,113.00","231.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AFL","AFLAC INC","Financials","Equity","317,989,249.02","0.10","317,989,249.02","5,061,911.00","62.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PAYX","PAYCHEX INC","Information Technology","Equity","315,487,518.72","0.10","315,487,518.72","2,679,072.00","117.76","United States","NASDAQ","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","313,509,291.98","0.10","313,509,291.98","3,618,946.00","86.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","312,910,003.26","0.10","312,910,003.26","4,491,961.00","69.66","United States","NASDAQ","USD","1.00","USD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","312,816,206.96","0.10","312,816,206.96","5,207,528.00","60.07","United States","NASDAQ","USD","1.00","USD","-"
"PPG","PPG INDUSTRIES INC","Materials","Equity","310,621,038.20","0.10","310,621,038.20","1,988,611.00","156.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EA","ELECTRONIC ARTS INC","Communication","Equity","309,217,724.64","0.10","309,217,724.64","2,330,904.00","132.66","United States","NASDAQ","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","309,050,138.31","0.10","309,050,138.31","3,644,889.00","84.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APTV","APTIV PLC","Consumer Discretionary","Equity","304,946,399.98","0.10","304,946,399.98","2,232,731.00","136.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","303,862,437.24","0.10","303,862,437.24","10,149,046.00","29.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"YUM","YUM BRANDS INC","Consumer Discretionary","Equity","303,725,380.51","0.10","303,725,380.51","2,426,503.00","125.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALGN","ALIGN TECHNOLOGY INC","Health Care","Equity","303,192,202.64","0.10","303,192,202.64","612,559.00","494.96","United States","NASDAQ","USD","1.00","USD","-"
"OTIS","OTIS WORLDWIDE CORP","Industrials","Equity","300,459,189.46","0.09","300,459,189.46","3,517,022.00","85.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WBA","WALGREEN BOOTS ALLIANCE INC","Consumer Staples","Equity","299,986,917.76","0.09","299,986,917.76","6,028,676.00","49.76","United States","NASDAQ","USD","1.00","USD","-"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Real Estate","Equity","294,199,712.64","0.09","294,199,712.64","904,006.00","325.44","United States","NASDAQ","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","290,222,063.35","0.09","290,222,063.35","290,222,063.00","100.00","United States","-","USD","1.00","USD","-"
"STT","STATE STREET CORP","Financials","Equity","290,196,364.50","0.09","290,196,364.50","3,070,861.00","94.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTVA","CORTEVA INC","Materials","Equity","289,594,686.72","0.09","289,594,686.72","6,023,184.00","48.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","287,770,919.92","0.09","287,770,919.92","2,384,776.00","120.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TROW","T ROWE PRICE GROUP INC","Financials","Equity","287,710,965.93","0.09","287,710,965.93","1,863,051.00","154.43","United States","NASDAQ","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","286,818,245.50","0.09","286,818,245.50","2,934,202.00","97.75","United States","NASDAQ","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","286,160,271.81","0.09","286,160,271.81","730,877.00","391.53","United States","NASDAQ","USD","1.00","USD","-"
"SIVB","SVB FINANCIAL GROUP","Financials","Equity","285,657,893.60","0.09","285,657,893.60","489,224.00","583.90","United States","NASDAQ","USD","1.00","USD","-"
"AVB","AVALONBAY COMMUNITIES REIT INC","Real Estate","Equity","285,616,483.11","0.09","285,616,483.11","1,169,457.00","244.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","283,198,189.44","0.09","283,198,189.44","930,624.00","304.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KMI","KINDER MORGAN INC","Energy","Equity","283,041,727.92","0.09","283,041,727.92","16,304,247.00","17.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DFS","DISCOVER FINANCIAL SERVICES","Financials","Equity","282,175,350.00","0.09","282,175,350.00","2,437,800.00","115.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","282,076,444.44","0.09","282,076,444.44","2,783,466.00","101.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","281,219,181.76","0.09","281,219,181.76","3,389,408.00","82.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","281,123,712.54","0.09","281,123,712.54","4,225,518.00","66.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROK","ROCKWELL AUTOMATION INC","Industrials","Equity","280,132,996.82","0.09","280,132,996.82","968,581.00","289.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Materials","Equity","279,164,354.88","0.09","279,164,354.88","2,116,164.00","131.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTD","METTLER TOLEDO INC","Health Care","Equity","278,915,283.24","0.09","278,915,283.24","189,393.00","1,472.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","277,994,391.43","0.09","277,994,391.43","7,379,729.00","37.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RMD","RESMED INC","Health Care","Equity","277,047,883.80","0.09","277,047,883.80","1,211,933.00","228.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIIB","BIOGEN INC","Health Care","Equity","276,124,314.00","0.09","276,124,314.00","1,221,789.00","226.00","United States","NASDAQ","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","272,727,001.44","0.09","272,727,001.44","1,726,776.00","157.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FAST","FASTENAL","Industrials","Equity","272,288,056.04","0.09","272,288,056.04","4,803,953.00","56.68","United States","NASDAQ","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","271,666,852.16","0.09","271,666,852.16","6,462,104.00","42.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","270,232,101.66","0.08","270,232,101.66","2,906,034.00","92.99","United States","NASDAQ","USD","1.00","USD","-"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","268,195,475.20","0.08","268,195,475.20","3,092,660.00","86.72","United States","NASDAQ","USD","1.00","USD","-"
"AME","AMETEK INC","Industrials","Equity","265,400,406.99","0.08","265,400,406.99","1,940,487.00","136.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","265,360,991.12","0.08","265,360,991.12","430,648.00","616.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTCH","MATCH GROUP INC","Communication","Equity","265,262,778.90","0.08","265,262,778.90","2,353,707.00","112.70","United States","NASDAQ","USD","1.00","USD","-"
"DVN","DEVON ENERGY CORP","Energy","Equity","264,801,713.80","0.08","264,801,713.80","5,236,340.00","50.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","260,981,426.64","0.08","260,981,426.64","1,181,553.00","220.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRSK","VERISK ANALYTICS INC","Industrials","Equity","260,809,751.40","0.08","260,809,751.40","1,329,780.00","196.13","United States","NASDAQ","USD","1.00","USD","-"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Information Technology","Equity","260,538,555.44","0.08","260,538,555.44","1,543,292.00","168.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLL","BALL CORP","Materials","Equity","258,841,509.10","0.08","258,841,509.10","2,665,721.00","97.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FRC","FIRST REPUBLIC BANK","Financials","Equity","258,749,782.20","0.08","258,749,782.20","1,490,580.00","173.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ES","EVERSOURCE ENERGY","Utilities","Equity","257,157,927.06","0.08","257,157,927.06","2,873,594.00","89.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","255,625,194.00","0.08","255,625,194.00","2,634,225.00","97.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","254,387,164.85","0.08","254,387,164.85","2,942,593.00","86.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WY","WEYERHAEUSER REIT","Real Estate","Equity","254,405,249.41","0.08","254,405,249.41","6,292,487.00","40.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FITB","FIFTH THIRD BANCORP","Financials","Equity","253,458,634.67","0.08","253,458,634.67","5,679,109.00","44.63","United States","NASDAQ","USD","1.00","USD","-"
"EQR","EQUITY RESIDENTIAL REIT","Real Estate","Equity","251,874,390.53","0.08","251,874,390.53","2,838,661.00","88.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TWTR","TWITTER INC","Communication","Equity","251,696,376.14","0.08","251,696,376.14","6,710,114.00","37.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANSS","ANSYS INC","Information Technology","Equity","247,669,064.17","0.08","247,669,064.17","728,417.00","340.01","United States","NASDAQ","USD","1.00","USD","-"
"DLTR","DOLLAR TREE INC","Consumer Discretionary","Equity","245,509,470.72","0.08","245,509,470.72","1,870,976.00","131.22","United States","NASDAQ","USD","1.00","USD","-"
"EFX","EQUIFAX INC","Industrials","Equity","245,218,855.68","0.08","245,218,855.68","1,022,768.00","239.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WST","WEST PHARMACEUTICAL SERVICES INC","Health Care","Equity","244,484,928.22","0.08","244,484,928.22","621,751.00","393.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AWK","AMERICAN WATER WORKS INC","Utilities","Equity","244,214,678.40","0.08","244,214,678.40","1,518,748.00","160.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KR","KROGER","Consumer Staples","Equity","243,861,465.24","0.08","243,861,465.24","5,594,436.00","43.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","243,423,119.34","0.08","243,423,119.34","2,728,347.00","89.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTW","WILLIS TOWERS WATSON PLC","Financials","Equity","242,474,506.28","0.08","242,474,506.28","1,036,393.00","233.96","United States","NASDAQ","USD","1.00","USD","-"
"NUE","NUCOR CORP","Materials","Equity","241,054,164.00","0.08","241,054,164.00","2,377,260.00","101.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HSY","HERSHEY FOODS","Consumer Staples","Equity","235,380,013.86","0.07","235,380,013.86","1,194,398.00","197.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SWK","STANLEY BLACK & DECKER INC","Industrials","Equity","234,103,479.75","0.07","234,103,479.75","1,340,415.00","174.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","233,149,247.57","0.07","233,149,247.57","1,875,547.00","124.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrials","Equity","232,603,852.70","0.07","232,603,852.70","770,390.00","301.93","United States","NASDAQ","USD","1.00","USD","-"
"HAL","HALLIBURTON","Energy","Equity","230,131,075.28","0.07","230,131,075.28","7,486,372.00","30.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPRT","COPART INC","Industrials","Equity","229,304,105.25","0.07","229,304,105.25","1,774,113.00","129.25","United States","NASDAQ","USD","1.00","USD","-"
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Real Estate","Equity","228,439,378.64","0.07","228,439,378.64","1,172,446.00","194.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OKE","ONEOK INC","Energy","Equity","227,797,756.44","0.07","227,797,756.44","3,754,083.00","60.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSN","TYSON FOODS INC CLASS A","Consumer Staples","Equity","225,887,553.65","0.07","225,887,553.65","2,485,285.00","90.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EPAM","EPAM SYSTEMS INC","Information Technology","Equity","225,777,493.62","0.07","225,777,493.62","474,183.00","476.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXPE","EXPEDIA GROUP INC","Consumer Discretionary","Equity","225,716,502.88","0.07","225,716,502.88","1,231,472.00","183.29","United States","NASDAQ","USD","1.00","USD","-"
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Information Technology","Equity","223,826,462.08","0.07","223,826,462.08","439,634.00","509.12","United States","NASDAQ","USD","1.00","USD","-"
"EXR","EXTRA SPACE STORAGE REIT INC","Real Estate","Equity","221,762,520.41","0.07","221,762,520.41","1,118,939.00","198.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CERN","CERNER CORP","Health Care","Equity","220,822,104.00","0.07","220,822,104.00","2,421,295.00","91.20","United States","NASDAQ","USD","1.00","USD","-"
"LUV","SOUTHWEST AIRLINES","Industrials","Equity","220,605,926.40","0.07","220,605,926.40","4,928,640.00","44.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RSG","REPUBLIC SERVICES INC","Industrials","Equity","220,618,948.16","0.07","220,618,948.16","1,728,176.00","127.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALB","ALBEMARLE CORP","Materials","Equity","216,889,411.44","0.07","216,889,411.44","982,556.00","220.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Health Care","Equity","215,858,150.18","0.07","215,858,150.18","1,754,659.00","123.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LEN","LENNAR A CORP","Consumer Discretionary","Equity","215,334,935.55","0.07","215,334,935.55","2,240,505.00","96.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LH","LABORATORY CORPORATION OF AMERICA","Health Care","Equity","214,806,405.12","0.07","214,806,405.12","791,592.00","271.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDW","CDW CORP","Information Technology","Equity","213,317,403.25","0.07","213,317,403.25","1,128,365.00","189.05","United States","NASDAQ","USD","1.00","USD","-"
"DAL","DELTA AIR LINES INC","Industrials","Equity","212,492,639.52","0.07","212,492,639.52","5,353,808.00","39.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HES","HESS CORP","Energy","Equity","211,600,481.62","0.07","211,600,481.62","2,292,778.00","92.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KHC","KRAFT HEINZ","Consumer Staples","Equity","211,240,764.00","0.07","211,240,764.00","5,900,580.00","35.80","United States","NASDAQ","USD","1.00","USD","-"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Materials","Equity","209,318,980.23","0.07","209,318,980.23","2,163,951.00","96.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSCO","TRACTOR SUPPLY","Consumer Discretionary","Equity","208,524,472.56","0.07","208,524,472.56","955,176.00","218.31","United States","NASDAQ","USD","1.00","USD","-"
"MKC","MCCORMICK & CO NON-VOTING INC","Consumer Staples","Equity","208,042,338.14","0.07","208,042,338.14","2,073,994.00","100.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FTV","FORTIVE CORP","Industrials","Equity","207,565,360.80","0.07","207,565,360.80","2,942,520.00","70.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VMC","VULCAN MATERIALS","Materials","Equity","207,296,499.67","0.06","207,296,499.67","1,089,257.00","190.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHD","CHURCH AND DWIGHT INC","Consumer Staples","Equity","206,922,793.85","0.06","206,922,793.85","2,015,809.00","102.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTRS","NORTHERN TRUST CORP","Financials","Equity","203,836,798.08","0.06","203,836,798.08","1,747,572.00","116.64","United States","NASDAQ","USD","1.00","USD","-"
"SWKS","SKYWORKS SOLUTIONS INC","Information Technology","Equity","203,801,994.00","0.06","203,801,994.00","1,390,950.00","146.52","United States","NASDAQ","USD","1.00","USD","-"
