iShares Core S&P 500 ETF
Fund Holdings as of,"Jan 31, 2022"
Inception Date,"May 15, 2000"
Shares Outstanding,"704,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","1,832,652,316.51","0.57","1,832,652,316.51","34,428,937.00","53.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","1,784,336,879.40","0.56","1,784,336,879.40","33,166,113.00","53.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","1,713,532,466.52","0.54","1,713,532,466.52","21,030,099.00","81.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","1,679,940,801.64","0.53","1,679,940,801.64","9,770,506.00","171.94","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","1,652,104,011.80","0.52","1,652,104,011.80","11,816,780.00","139.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","1,651,081,854.88","0.52","1,651,081,854.88","33,819,784.00","48.82","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","1,637,097,889.44","0.51","1,637,097,889.44","9,314,394.00","175.76","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","1,620,192,382.80","0.51","1,620,192,382.80","6,602,520.00","245.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","1,612,213,478.70","0.51","1,612,213,478.70","6,213,966.00","259.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","1,573,408,107.70","0.49","1,573,408,107.70","10,626,110.00","148.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","1,573,371,044.28","0.49","1,573,371,044.28","3,683,502.00","427.14","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","1,514,284,069.50","0.47","1,514,284,069.50","59,383,689.00","25.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1,511,433,852.43","0.47","1,511,433,852.43","5,288,617.00","285.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","1,378,453,943.13","0.43","1,378,453,943.13","7,679,837.00","179.49","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,366,943,746.50","0.43","1,366,943,746.50","5,759,190.00","237.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","1,358,395,807.60","0.43","1,358,395,807.60","4,262,570.00","318.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","1,331,532,611.75","0.42","1,331,532,611.75","12,946,355.00","102.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","1,307,545,756.10","0.41","1,307,545,756.10","5,346,742.00","244.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","1,307,426,732.04","0.41","1,307,426,732.04","2,354,748.00","555.23","United States","NASDAQ","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","1,274,675,603.04","0.40","1,274,675,603.04","16,316,892.00","78.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","1,226,113,478.65","0.38","1,226,113,478.65","6,063,565.00","202.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","1,224,249,772.14","0.38","1,224,249,772.14","11,939,241.00","102.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,198,951,635.42","0.38","1,198,951,635.42","18,476,678.00","64.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,170,396,080.64","0.37","1,170,396,080.64","5,723,768.00","204.48","United States","NASDAQ","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","1,169,188,388.64","0.37","1,169,188,388.64","10,977,264.00","106.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,158,208,231.51","0.36","1,158,208,231.51","11,191,499.00","103.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1,146,344,055.50","0.36","1,146,344,055.50","10,033,646.00","114.25","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","1,121,910,297.71","0.35","1,121,910,297.71","12,439,409.00","90.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","1,096,419,173.30","0.34","1,096,419,173.30","12,501,929.00","87.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","1,088,773,249.36","0.34","1,088,773,249.36","13,415,146.00","81.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","1,074,729,474.72","0.34","1,074,729,474.72","16,503,831.00","65.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","1,064,022,338.76","0.33","1,064,022,338.76","4,684,434.00","227.14","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","1,037,671,415.34","0.33","1,037,671,415.34","7,509,563.00","138.18","United States","NASDAQ","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","1,001,256,674.48","0.31","1,001,256,674.48","2,822,986.00","354.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","996,129,663.95","0.31","996,129,663.95","7,457,735.00","133.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","977,223,968.26","0.31","977,223,968.26","1,187,479.00","822.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
